Symbol chromosome start end
APOE 19 44905749 44909395
ACE 17 63477061 63498380
CYP19A1 15 51208057 51338598
HLA-B 6 31353868 31357212
UGT1A1 2 233760273 233773299
NAT2 8 18391245 18401219
CETP 16 56961923 56983844
APOA5 11 116789370 116792420
ESR1 6 151690496 152103274
APOA1 11 116835751 116837647
IL10 1 206767602 206774607
ABO 9 133255176 133275214
TP53 17 7668402 7687550
LDLR 19 11089362 11133830
HLA-C 6 31268749 31272136
SLCO1B1 12 21131194 21239796
HMGA2 12 65824460 65966291
LIPC 15 58410754 58568874
LPL 8 19939071 19967259
BDNF 11 27654893 27722058
COMT 22 19941740 19969975
PARK2 6 161347417 162727802
HMGA1 6 34236800 34246231
TNF 6 31575567 31578336
IFNG 12 68154770 68159741
CXCR4 2 136114349 136118155
EGFR 7 55019032 55207338
BMP2 20 6767694 6780263
MICA 6 31399784 31415315
ETV6 12 11649854 11895402
PON1 7 95298357 95324572
VEGFA 6 43770209 43786487
CDK6 7 92604921 92836627
HLA-A 6 29942470 29945884
CCL2 17 34255277 34257203
HFE 6 26087281 26096117
MTHFR 1 11785730 11806103
AHR 7 17298652 17346151
IL6 7 22725442 22732002
HNF1A 12 120977787 121002512
PCSK9 1 55039476 55064853
KIT 4 54657928 54740715
TGFB1 19 41330531 41353933
CXCL12 10 44370153 44385097
SLC22A5 5 132369704 132395614
CYP2C19 10 94762681 94853205
APOC1 19 44914325 44919349
ITGB3 17 47253842 47312711
APOC3 11 116829908 116833071
UGT1A9 2 233671898 233773305
PRNP 20 4686151 4701588
GCKR 2 27496839 27523689
GDF5 20 35433347 35441387
CYP2C9 10 94938658 94989391
APP 21 25880550 26171128
IGF1R 15 98648539 98964530
SLC6A4 17 30194319 30235968
HLA-DRB1 6 32578769 32589836
ERBB2 17 39688084 39728662
BRCA1 17 43044295 43125483
WWOX 16 78099413 79212667
APOB 2 20999218 21044073
HIF1A 14 61695401 61748259
ACADM 1 75724347 75763679
NFKB1 4 102501329 102617302
ADIPOQ 3 186842668 186858463
ABCB1 7 87503863 87713323
PTGS2 1 186671812 186680427
MMP9 20 46008908 46016561
AR X 67544032 67730619
